invoiceno,invoicedate_ts,ordertotal,yearmonth
536031,2010-11-29 16:45:00,6381.40,2010-11
490741,2009-12-07 17:56:00,6370.46,2009-12
507235,2010-05-07 09:04:00,6361.97,2010-05
491966,2009-12-14 17:16:00,6342.48,2009-12
524706,2010-09-30 12:33:00,6332.63,2010-09
529350,2010-10-28 09:29:00,6325.08,2010-10
519195,2010-08-13 18:07:00,6314.00,2010-08
529746,2010-10-29 14:18:00,6312.12,2010-10
537638,2010-12-07 15:28:00,6293.86,2010-12
508748,2010-05-18 11:45:00,6250.00,2010-05
534859,2010-11-24 13:56:00,6203.01,2010-11
491969,2009-12-14 17:57:00,6141.94,2009-12
525968,2010-10-08 10:10:00,6082.08,2010-10
537823,2010-12-08 14:25:00,6073.71,2010-12
524182,2010-09-27 17:02:00,6069.60,2010-09
503186,2010-03-30 14:47:00,6051.45,2010-03
492414,2009-12-16 17:01:00,6034.71,2009-12
511335,2010-06-08 10:44:00,6007.68,2010-06
519404,2010-08-17 08:56:00,5897.68,2010-08
505505,2010-04-22 14:09:00,5876.34,2010-04
519193,2010-08-13 17:00:00,5849.65,2010-08
504639,2010-04-15 14:12:00,5843.70,2010-04
520948,2010-09-01 11:05:00,5827.84,2010-09
501772,2010-03-19 11:56:00,5795.87,2010-03
509352,2010-05-21 13:33:00,5782.00,2010-05
495070,2010-01-20 17:50:00,5750.76,2010-01
489857,2009-12-02 14:43:00,5741.96,2009-12
517817,2010-08-02 12:12:00,5737.32,2010-08
524874,2010-10-01 10:28:00,5715.80,2010-10
499176,2010-02-25 10:20:00,5710.32,2010-02
526585,2010-10-12 11:52:00,5698.80,2010-10
519196,2010-08-13 18:25:00,5676.81,2010-08
491155,2009-12-10 09:49:00,5596.15,2009-12
526845,2010-10-13 12:18:00,5557.78,2010-10
492782,2009-12-18 17:06:00,5534.15,2009-12
500173,2010-03-05 10:13:00,5525.28,2010-03
536544,2010-12-01 14:32:00,5521.14,2010-12
493994,2010-01-10 13:41:00,5520.00,2010-01
505981,2010-04-27 09:30:00,5416.80,2010-04
532582,2010-11-12 14:24:00,5398.24,2010-11
511109,2010-06-07 09:55:00,5368.86,2010-06
524909,2010-10-01 11:34:00,5326.68,2010-10
531204,2010-11-05 15:25:00,5321.16,2010-11
521315,2010-09-03 12:01:00,5293.92,2010-09
491800,2009-12-14 12:58:00,5259.17,2009-12
526084,2010-10-08 12:03:00,5245.18,2010-10
523311,2010-09-21 13:13:00,5242.84,2010-09
527145,2010-10-15 10:24:00,5231.06,2010-10
535835,2010-11-29 09:46:00,5217.40,2010-11
497157,2010-02-05 16:25:00,5206.50,2010-02
490745,2009-12-07 18:02:00,5201.38,2009-12
533145,2010-11-16 13:35:00,5163.04,2010-11
499297,2010-02-25 20:16:00,5158.40,2010-02
524437,2010-09-29 10:57:00,5134.26,2010-09
495798,2010-01-26 17:25:00,5117.03,2010-01
508333,2010-05-14 12:00:00,5106.73,2010-05
522513,2010-09-15 11:35:00,5099.44,2010-09
489597,2009-12-01 14:28:00,5097.82,2009-12
501049,2010-03-12 10:41:00,5089.72,2010-03
537666,2010-12-07 18:36:00,5058.04,2010-12
526109,2010-10-08 12:58:00,5056.46,2010-10
521112,2010-09-02 10:47:00,5023.92,2010-09
507996,2010-05-12 10:56:00,4997.44,2010-05
503185,2010-03-30 14:29:00,4977.74,2010-03
489675,2009-12-02 09:47:00,4939.22,2009-12
492425,2009-12-16 17:58:00,4908.06,2009-12
536324,2010-11-30 16:25:00,4881.15,2010-11
528577,2010-10-22 13:13:00,4874.90,2010-10
502758,2010-03-26 13:45:00,4865.70,2010-03
530391,2010-11-02 17:12:00,4862.16,2010-11
513574,2010-06-25 15:13:00,4852.70,2010-06
495239,2010-01-22 10:01:00,4850.93,2010-01
522132,2010-09-13 09:57:00,4847.52,2010-09
508096,2010-05-13 08:59:00,4815.80,2010-05
508095,2010-05-13 08:57:00,4798.80,2010-05
535407,2010-11-26 11:20:00,4786.59,2010-11
507179,2010-05-06 15:24:00,4751.16,2010-05
532953,2010-11-15 12:17:00,4747.75,2010-11
534006,2010-11-19 14:29:00,4742.33,2010-11
489889,2009-12-02 16:52:00,4734.24,2009-12
527113,2010-10-14 17:33:00,4733.52,2010-10
491043,2009-12-09 09:51:00,4725.77,2009-12
535413,2010-11-26 11:34:00,4713.26,2010-11
516194,2010-07-19 10:04:00,4692.92,2010-07
490963,2009-12-08 15:49:00,4646.49,2009-12
534709,2010-11-23 16:53:00,4624.53,2010-11
525037,2010-10-03 12:40:00,4623.34,2010-10
512759,2010-06-17 15:51:00,4620.86,2010-06
503907,2010-04-08 12:23:00,4614.18,2010-04
503871,2010-04-08 11:36:00,4607.50,2010-04
501473,2010-03-16 16:31:00,4607.30,2010-03
533120,2010-11-16 12:32:00,4604.38,2010-11
511435,2010-06-08 11:51:00,4588.62,2010-06
491970,2009-12-14 18:03:00,4588.33,2009-12
501685,2010-03-18 16:35:00,4580.00,2010-03
526155,2010-10-08 15:56:00,4486.11,2010-10
491041,2009-12-09 09:42:00,4475.84,2009-12
489856,2009-12-02 14:36:00,4463.74,2009-12
513331,2010-06-23 17:35:00,4453.80,2010-06
494875,2010-01-19 12:31:00,4448.09,2010-01
522582,2010-09-15 12:16:00,4422.25,2010-09
492303,2009-12-16 11:57:00,4398.65,2009-12
495906,2010-01-27 12:39:00,4385.71,2010-01
490018,2009-12-03 12:31:00,4380.00,2009-12
525286,2010-10-05 08:34:00,4377.52,2010-10
499170,2010-02-25 09:40:00,4376.25,2010-02
498133,2010-02-16 17:24:00,4367.30,2010-02
491971,2009-12-14 18:37:00,4351.79,2009-12
535322,2010-11-25 15:19:00,4312.81,2010-11
493079,2009-12-22 09:52:00,4304.38,2009-12
533737,2010-11-18 13:55:00,4235.04,2010-11
528951,2010-10-25 16:43:00,4227.00,2010-10
505150,2010-04-20 11:40:00,4217.59,2010-04
526267,2010-10-11 10:56:00,4215.74,2010-10
532358,2010-11-11 17:05:00,4176.00,2010-11
512807,2010-06-18 11:21:00,4175.02,2010-06
498928,2010-02-24 10:18:00,4168.98,2010-02
499298,2010-02-25 20:18:00,4122.00,2010-02
532139,2010-11-11 11:18:00,4118.57,2010-11
492783,2009-12-18 17:15:00,4117.06,2009-12
527796,2010-10-19 11:14:00,4098.96,2010-10
531561,2010-11-09 10:09:00,4098.96,2010-11
536783,2010-12-02 15:19:00,4076.48,2010-12
525970,2010-10-08 10:21:00,4045.00,2010-10
534289,2010-11-22 11:25:00,4042.23,2010-11
532140,2010-11-11 11:31:00,4027.50,2010-11
498910,2010-02-23 15:17:00,4010.08,2010-02
532613,2010-11-12 15:20:00,4008.59,2010-11
490061,2009-12-03 13:42:00,4000.00,2009-12
530799,2010-11-04 12:31:00,3993.64,2010-11
533348,2010-11-17 09:22:00,3981.99,2010-11
533348,2010-11-17 09:23:00,3981.99,2010-11
516430,2010-07-20 11:47:00,3970.13,2010-07
520214,2010-08-25 07:46:00,3963.76,2010-08
521566,2010-09-07 10:54:00,3960.10,2010-09
527174,2010-10-15 11:40:00,3950.97,2010-10
517253,2010-07-27 15:45:00,3947.58,2010-07
529613,2010-10-29 10:46:00,3942.00,2010-10
533280,2010-11-16 15:27:00,3924.42,2010-11
514082,2010-06-30 12:02:00,3921.74,2010-06
533338,2010-11-16 18:18:00,3906.83,2010-11
534459,2010-11-23 09:12:00,3891.06,2010-11
491148,2009-12-10 07:43:00,3882.66,2009-12
530850,2010-11-04 14:49:00,3879.46,2010-11
532642,2010-11-12 17:00:00,3874.10,2010-11
505335,2010-04-21 13:00:00,3857.20,2010-04
520406,2010-08-26 09:23:00,3846.98,2010-08
522124,2010-09-13 09:35:00,3845.04,2010-09
532419,2010-11-12 09:18:00,3829.67,2010-11
518735,2010-08-11 11:58:00,3814.16,2010-08
490957,2009-12-08 15:12:00,3796.37,2009-12
537899,2010-12-09 10:44:00,3794.40,2010-12
498398,2010-02-18 15:19:00,3788.34,2010-02
524147,2010-09-27 15:36:00,3787.88,2010-09
524155,2010-09-27 16:00:00,3787.88,2010-09
516775,2010-07-22 19:23:00,3787.06,2010-07
526089,2010-10-08 12:14:00,3767.62,2010-10
515932,2010-07-15 14:47:00,3761.64,2010-07
521339,2010-09-03 12:52:00,3752.40,2010-09
532993,2010-11-15 14:26:00,3751.70,2010-11
507292,2010-05-07 14:28:00,3751.54,2010-05
504715,2010-04-16 10:27:00,3720.24,2010-04
534319,2010-11-22 11:37:00,3717.83,2010-11
505984,2010-04-27 09:35:00,3707.92,2010-04
523166,2010-09-20 15:33:00,3707.40,2010-09
508501,2010-05-16 15:39:00,3681.00,2010-05
516270,2010-07-19 12:22:00,3678.86,2010-07
493812,2010-01-07 11:52:00,3677.90,2010-01
532826,2010-11-15 09:32:00,3675.39,2010-11
493981,2010-01-10 12:06:00,3654.38,2010-01
534389,2010-11-22 13:02:00,3650.42,2010-11
526239,2010-10-11 09:04:00,3648.60,2010-10
530648,2010-11-04 08:41:00,3621.66,2010-11
511164,2010-06-07 12:02:00,3610.50,2010-06
511176,2010-06-07 12:09:00,3610.50,2010-06
517483,2010-07-29 12:29:00,3610.50,2010-07
509873,2010-05-26 11:12:00,3596.70,2010-05
495073,2010-01-21 08:47:00,3590.07,2010-01
499399,2010-02-26 13:26:00,3537.82,2010-02
493883,2010-01-08 10:06:00,3528.00,2010-01
531837,2010-11-10 08:56:00,3525.52,2010-11
513963,2010-06-29 15:17:00,3499.80,2010-06
517393,2010-07-29 10:00:00,3485.50,2010-07
522792,2010-09-16 14:52:00,3485.31,2010-09
492237,2009-12-15 19:11:00,3480.00,2009-12
533740,2010-11-18 14:07:00,3466.40,2010-11
532296,2010-11-11 13:48:00,3465.00,2010-11
494386,2010-01-14 09:41:00,3447.01,2010-01
514509,2010-07-04 13:10:00,3439.02,2010-07
519462,2010-08-17 11:21:00,3434.61,2010-08
501006,2010-03-11 14:33:00,3425.26,2010-03
531036,2010-11-05 11:58:00,3424.08,2010-11
517404,2010-07-29 11:01:00,3417.12,2010-07
492418,2009-12-16 17:27:00,3416.72,2009-12
531843,2010-11-10 09:34:00,3391.29,2010-11
505450,2010-04-22 11:21:00,3374.80,2010-04
508529,2010-05-17 11:12:00,3363.57,2010-05
498723,2010-02-22 14:54:00,3360.00,2010-02
494814,2010-01-19 09:05:00,3354.23,2010-01
531489,2010-11-08 15:02:00,3331.80,2010-11
511556,2010-06-09 10:02:00,3330.52,2010-06
535988,2010-11-29 13:21:00,3321.38,2010-11
517250,2010-07-27 15:08:00,3297.60,2010-07
493181,2009-12-22 12:01:00,3284.88,2009-12
514729,2010-07-06 09:52:00,3274.40,2010-07
520906,2010-09-01 10:30:00,3271.98,2010-09
494016,2010-01-11 09:35:00,3266.57,2010-01
505747,2010-04-26 07:20:00,3256.64,2010-04
492226,2009-12-15 18:33:00,3251.87,2009-12
491091,2009-12-09 13:34:00,3249.32,2009-12
512754,2010-06-17 15:26:00,3248.86,2010-06
503955,2010-04-08 16:43:00,3242.22,2010-04
519390,2010-08-16 14:43:00,3237.60,2010-08
523200,2010-09-21 09:26:00,3231.27,2010-09
494782,2010-01-18 13:15:00,3213.70,2010-01
502759,2010-03-26 13:46:00,3208.44,2010-03
524837,2010-09-30 17:39:00,3196.48,2010-09
536387,2010-12-01 09:58:00,3193.92,2010-12
501161,2010-03-15 09:28:00,3190.65,2010-03
505396,2010-04-22 09:50:00,3181.97,2010-04
500751,2010-03-10 10:25:00,3176.34,2010-03
511277,2010-06-07 13:33:00,3175.50,2010-06
504933,2010-04-19 11:13:00,3170.85,2010-04
494378,2010-01-13 17:03:00,3163.80,2010-01
498161,2010-02-17 12:03:00,3157.06,2010-02
530434,2010-11-03 10:47:00,3153.80,2010-11
494678,2010-01-18 09:12:00,3151.00,2010-01
500462,2010-03-08 12:40:00,3144.03,2010-03
524185,2010-09-28 09:12:00,3138.04,2010-09
501614,2010-03-18 10:58:00,3137.85,2010-03
531799,2010-11-09 15:39:00,3119.00,2010-11
531387,2010-11-08 09:20:00,3110.28,2010-11
533065,2010-11-15 17:04:00,3108.89,2010-11
489702,2009-12-02 10:52:00,3108.64,2009-12
519800,2010-08-20 12:28:00,3101.89,2010-08
532829,2010-11-15 09:54:00,3092.40,2010-11
538153,2010-12-09 16:31:00,3091.82,2010-12
525764,2010-10-07 10:39:00,3084.02,2010-10
529203,2010-10-27 09:59:00,3083.12,2010-10
516378,2010-07-20 11:06:00,3078.21,2010-07
503807,2010-04-07 14:12:00,3068.68,2010-04
530060,2010-11-01 11:35:00,3056.07,2010-11
503940,2010-04-08 14:47:00,3049.34,2010-04
510983,2010-06-04 12:23:00,3043.36,2010-06
515296,2010-07-09 15:20:00,3031.40,2010-07
500575,2010-03-08 16:53:00,3022.77,2010-03
530140,2010-11-01 16:45:00,3020.53,2010-11
498114,2010-02-16 14:32:00,3019.35,2010-02
532063,2010-11-10 14:48:00,3016.49,2010-11
523011,2010-09-20 10:07:00,3013.02,2010-09
534716,2010-11-23 17:43:00,3013.00,2010-11
523010,2010-09-20 10:05:00,3000.72,2010-09
493436,2010-01-04 13:03:00,3000.24,2010-01
525760,2010-10-07 10:36:00,2990.44,2010-10
500126,2010-03-04 14:41:00,2985.50,2010-03
520173,2010-08-24 13:20:00,2982.82,2010-08
533820,2010-11-19 09:34:00,2977.73,2010-11
524969,2010-10-01 14:38:00,2971.06,2010-10
515281,2010-07-09 13:53:00,2970.75,2010-07
504928,2010-04-19 10:59:00,2970.60,2010-04
504146,2010-04-11 13:10:00,2969.60,2010-04
503426,2010-03-31 17:28:00,2964.58,2010-03
500918,2010-03-11 10:30:00,2956.62,2010-03
498163,2010-02-17 12:12:00,2947.10,2010-02
536162,2010-11-30 12:07:00,2945.38,2010-11
505202,2010-04-20 16:21:00,2940.16,2010-04
501545,2010-03-17 14:59:00,2917.76,2010-03
513099,2010-06-21 15:13:00,2913.41,2010-06
516131,2010-07-16 15:26:00,2903.71,2010-07
520504,2010-08-26 12:43:00,2901.00,2010-08
528954,2010-10-26 08:11:00,2900.57,2010-10
493073,2009-12-22 09:41:00,2898.36,2009-12
489539,2009-12-01 12:18:00,2887.14,2009-12
493258,2009-12-22 14:19:00,2872.04,2009-12
514876,2010-07-07 10:33:00,2869.52,2010-07
530325,2010-11-02 13:36:00,2860.44,2010-11
520736,2010-08-31 09:31:00,2837.88,2010-08
510204,2010-05-28 07:51:00,2837.04,2010-05
498152,2010-02-17 10:51:00,2836.80,2010-02
526945,2010-10-14 10:30:00,2832.48,2010-10
510727,2010-06-03 10:28:00,2831.82,2010-06
503542,2010-04-01 14:19:00,2831.66,2010-04
529727,2010-10-29 14:12:00,2825.85,2010-10
510772,2010-06-03 14:02:00,2822.61,2010-06
516153,2010-07-18 11:35:00,2819.16,2010-07
505745,2010-04-26 07:17:00,2816.62,2010-04
525335,2010-10-05 11:24:00,2816.48,2010-10
520063,2010-08-23 16:02:00,2815.29,2010-08
507393,2010-05-09 12:49:00,2814.41,2010-05
513776,2010-06-28 14:01:00,2814.00,2010-06
531544,2010-11-09 07:56:00,2807.90,2010-11
497937,2010-02-15 10:49:00,2805.00,2010-02
523576,2010-09-22 16:26:00,2803.20,2010-09
517953,2010-08-03 11:56:00,2780.32,2010-08
502525,2010-03-25 11:28:00,2779.34,2010-03
519468,2010-08-17 11:52:00,2777.12,2010-08
494381,2010-01-13 17:44:00,2774.61,2010-01
522798,2010-09-16 15:14:00,2769.90,2010-09
524162,2010-09-27 16:18:00,2769.90,2010-09
525403,2010-10-05 11:53:00,2769.90,2010-10
528579,2010-10-22 13:18:00,2764.00,2010-10
504918,2010-04-19 10:36:00,2753.11,2010-04
537793,2010-12-08 12:57:00,2746.75,2010-12
525011,2010-10-03 10:52:00,2736.16,2010-10
529356,2010-10-28 09:44:00,2736.16,2010-10
499765,2010-03-02 13:15:00,2734.43,2010-03
536785,2010-12-02 15:22:00,2730.96,2010-12
532823,2010-11-15 09:02:00,2716.34,2010-11
493995,2010-01-10 13:50:00,2699.44,2010-01
508217,2010-05-13 14:57:00,2691.59,2010-05
498724,2010-02-22 14:59:00,2685.54,2010-02
518206,2010-08-05 11:55:00,2675.14,2010-08
537852,2010-12-08 15:56:00,2671.27,2010-12
526860,2010-10-13 13:02:00,2667.88,2010-10
527258,2010-10-15 12:40:00,2667.88,2010-10
500903,2010-03-11 10:13:00,2655.96,2010-03
514280,2010-07-01 11:59:00,2654.01,2010-07
534640,2010-11-23 13:02:00,2646.70,2010-11
496237,2010-01-29 14:37:00,2646.40,2010-01
500232,2010-03-05 11:22:00,2640.00,2010-03
502532,2010-03-25 11:31:00,2640.00,2010-03
512282,2010-06-14 14:06:00,2623.72,2010-06
504332,2010-04-12 16:30:00,2622.48,2010-04
530346,2010-11-02 15:42:00,2613.94,2010-11
501874,2010-03-21 12:31:00,2613.62,2010-03
534763,2010-11-24 10:21:00,2612.89,2010-11
502486,2010-03-24 17:43:00,2610.78,2010-03
511853,2010-06-11 08:08:00,2608.04,2010-06
502746,2010-03-26 12:53:00,2593.76,2010-03
507210,2010-05-06 17:22:00,2593.62,2010-05
490785,2009-12-08 11:23:00,2590.80,2009-12
502771,2010-03-26 14:29:00,2585.75,2010-03
493395,2009-12-23 13:41:00,2583.23,2009-12
521182,2010-09-02 16:14:00,2578.14,2010-09
522626,2010-09-15 16:22:00,2576.88,2010-09
523768,2010-09-24 10:29:00,2573.64,2010-09
530970,2010-11-05 09:35:00,2570.77,2010-11
537235,2010-12-06 09:45:00,2567.64,2010-12
501080,2010-03-12 11:19:00,2566.29,2010-03
493393,2009-12-23 13:00:00,2565.83,2009-12
533074,2010-11-16 07:52:00,2561.94,2010-11
520663,2010-08-27 12:50:00,2561.28,2010-08
519817,2010-08-20 13:41:00,2560.40,2010-08
517454,2010-07-29 11:22:00,2559.35,2010-07
536576,2010-12-01 16:11:00,2558.42,2010-12
532163,2010-11-11 12:19:00,2552.79,2010-11
495343,2010-01-22 18:05:00,2550.86,2010-01
524711,2010-09-30 12:46:00,2545.85,2010-09
524714,2010-09-30 12:51:00,2545.85,2010-09
525498,2010-10-05 16:47:00,2545.85,2010-10
501918,2010-03-22 10:14:00,2545.44,2010-03
499789,2010-03-02 14:59:00,2544.20,2010-03
508094,2010-05-13 08:56:00,2532.82,2010-05
506162,2010-04-28 09:15:00,2525.86,2010-04
531395,2010-11-08 10:07:00,2520.84,2010-11
505977,2010-04-27 09:01:00,2519.52,2010-04
527418,2010-10-17 15:40:00,2518.00,2010-10
534793,2010-11-24 11:42:00,2514.72,2010-11
525753,2010-10-07 10:19:00,2510.11,2010-10
502300,2010-03-24 09:07:00,2509.90,2010-03
495185,2010-01-21 14:01:00,2507.06,2010-01
490083,2009-12-03 15:35:00,2506.14,2009-12
520824,2010-08-31 12:30:00,2502.35,2010-08
531069,2010-11-05 12:10:00,2496.96,2010-11
517391,2010-07-29 09:19:00,2496.60,2010-07
494685,2010-01-18 11:39:00,2490.99,2010-01
523338,2010-09-21 15:14:00,2487.20,2010-09
525438,2010-10-05 13:29:00,2486.34,2010-10
526806,2010-10-13 11:39:00,2485.48,2010-10
520041,2010-08-23 14:12:00,2484.16,2010-08
530422,2010-11-03 09:36:00,2481.67,2010-11
518900,2010-08-12 14:11:00,2480.48,2010-08
536477,2010-12-01 12:27:00,2474.74,2010-12
514369,2010-07-02 08:26:00,2464.63,2010-07
510519,2010-06-01 13:49:00,2463.82,2010-06
489599,2009-12-01 14:40:00,2454.68,2009-12
490933,2009-12-08 13:46:00,2452.56,2009-12
504667,2010-04-15 15:07:00,2451.26,2010-04
537645,2010-12-07 15:34:00,2448.29,2010-12
499299,2010-02-25 20:19:00,2448.00,2010-02
538149,2010-12-09 16:27:00,2446.16,2010-12
525008,2010-10-03 10:50:00,2443.98,2010-10
490956,2009-12-08 15:10:00,2442.72,2009-12
532853,2010-11-15 10:51:00,2442.00,2010-11
529306,2010-10-27 12:52:00,2434.50,2010-10
494017,2010-01-11 09:37:00,2434.17,2010-01
503151,2010-03-30 12:26:00,2429.42,2010-03
493799,2010-01-07 11:12:00,2427.60,2010-01
511544,2010-06-08 17:48:00,2422.78,2010-06
537643,2010-12-07 15:34:00,2416.59,2010-12
537393,2010-12-06 13:59:00,2415.04,2010-12
506003,2010-04-27 11:15:00,2409.22,2010-04
493260,2009-12-22 14:31:00,2405.62,2009-12
510637,2010-06-02 11:54:00,2404.58,2010-06
518792,2010-08-12 10:00:00,2403.84,2010-08
521568,2010-09-07 10:59:00,2403.10,2010-09
536865,2010-12-03 11:28:00,2396.96,2010-12
510041,2010-05-26 15:56:00,2396.61,2010-05
530753,2010-11-04 11:56:00,2395.73,2010-11
500400,2010-03-08 11:32:00,2394.00,2010-03
527416,2010-10-17 15:34:00,2392.46,2010-10
530708,2010-11-04 11:29:00,2389.62,2010-11
493877,2010-01-07 19:34:00,2388.82,2010-01
521403,2010-09-06 10:19:00,2382.92,2010-09
529325,2010-10-27 14:10:00,2382.35,2010-10
499521,2010-03-01 10:14:00,2377.38,2010-03
494515,2010-01-15 10:24:00,2370.78,2010-01
525503,2010-10-05 16:57:00,2366.40,2010-10
525113,2010-10-04 11:30:00,2366.12,2010-10
500472,2010-03-08 12:44:00,2362.74,2010-03
537034,2010-12-03 17:20:00,2355.18,2010-12
501306,2010-03-15 17:29:00,2355.16,2010-03
521357,2010-09-03 16:04:00,2349.24,2010-09
523713,2010-09-23 15:43:00,2344.70,2010-09
492098,2009-12-15 14:05:00,2343.72,2009-12
535902,2010-11-29 11:24:00,2340.34,2010-11
494495,2010-01-14 17:43:00,2336.36,2010-01
500091,2010-03-04 12:06:00,2332.04,2010-03
498249,2010-02-17 14:39:00,2329.48,2010-02
529597,2010-10-29 08:48:00,2328.58,2010-10
513987,2010-06-30 08:30:00,2326.74,2010-06
506146,2010-04-27 16:45:00,2323.34,2010-04
492005,2009-12-15 11:25:00,2320.20,2009-12
499267,2010-02-25 16:01:00,2320.03,2010-02
532252,2010-11-11 12:45:00,2318.95,2010-11
504166,2010-04-12 07:14:00,2318.40,2010-04
533516,2010-11-17 14:53:00,2318.27,2010-11
499422,2010-02-26 16:33:00,2311.42,2010-02
530087,2010-11-01 13:33:00,2311.01,2010-11
529315,2010-10-27 13:29:00,2310.24,2010-10
505744,2010-04-26 07:15:00,2310.00,2010-04
502872,2010-03-29 09:59:00,2309.11,2010-03
491953,2009-12-14 15:57:00,2308.50,2009-12
532305,2010-11-11 14:23:00,2301.96,2010-11
502333,2010-03-24 10:42:00,2300.40,2010-03
494379,2010-01-13 17:08:00,2300.09,2010-01
536183,2010-11-30 12:28:00,2295.92,2010-11
525221,2010-10-04 12:51:00,2293.45,2010-10
506581,2010-04-30 14:10:00,2292.48,2010-04
530966,2010-11-05 08:27:00,2292.18,2010-11
504916,2010-04-19 10:28:00,2291.74,2010-04
527520,2010-10-18 13:18:00,2290.46,2010-10
531861,2010-11-10 10:45:00,2287.26,2010-11
493796,2010-01-07 11:03:00,2287.20,2010-01
500891,2010-03-10 16:24:00,2286.30,2010-03
489438,2009-12-01 09:24:00,2286.24,2009-12
