invoiceno,invoicedate_ts,ordertotal
492414,2009-12-16 17:01:00,6034.71
511335,2010-06-08 10:44:00,6007.68
519404,2010-08-17 08:56:00,5897.68
505505,2010-04-22 14:09:00,5876.34
519193,2010-08-13 17:00:00,5849.65
504639,2010-04-15 14:12:00,5843.70
520948,2010-09-01 11:05:00,5827.84
501772,2010-03-19 11:56:00,5795.87
509352,2010-05-21 13:33:00,5782.00
495070,2010-01-20 17:50:00,5750.76
489857,2009-12-02 14:43:00,5741.96
517817,2010-08-02 12:12:00,5737.32
524874,2010-10-01 10:28:00,5715.80
499176,2010-02-25 10:20:00,5710.32
526585,2010-10-12 11:52:00,5698.80
519196,2010-08-13 18:25:00,5676.81
491155,2009-12-10 09:49:00,5596.15
526845,2010-10-13 12:18:00,5557.78
492782,2009-12-18 17:06:00,5534.15
500173,2010-03-05 10:13:00,5525.28
536544,2010-12-01 14:32:00,5521.14
493994,2010-01-10 13:41:00,5520.00
505981,2010-04-27 09:30:00,5416.80
532582,2010-11-12 14:24:00,5398.24
511109,2010-06-07 09:55:00,5368.86
524909,2010-10-01 11:34:00,5326.68
531204,2010-11-05 15:25:00,5321.16
521315,2010-09-03 12:01:00,5293.92
491800,2009-12-14 12:58:00,5259.17
526084,2010-10-08 12:03:00,5245.18
523311,2010-09-21 13:13:00,5242.84
527145,2010-10-15 10:24:00,5231.06
535835,2010-11-29 09:46:00,5217.40
497157,2010-02-05 16:25:00,5206.50
490745,2009-12-07 18:02:00,5201.38
533145,2010-11-16 13:35:00,5163.04
499297,2010-02-25 20:16:00,5158.40
524437,2010-09-29 10:57:00,5134.26
495798,2010-01-26 17:25:00,5117.03
508333,2010-05-14 12:00:00,5106.73
522513,2010-09-15 11:35:00,5099.44
489597,2009-12-01 14:28:00,5097.82
501049,2010-03-12 10:41:00,5089.72
537666,2010-12-07 18:36:00,5058.04
526109,2010-10-08 12:58:00,5056.46
521112,2010-09-02 10:47:00,5023.92
507996,2010-05-12 10:56:00,4997.44
503185,2010-03-30 14:29:00,4977.74
489675,2009-12-02 09:47:00,4939.22
492425,2009-12-16 17:58:00,4908.06
536324,2010-11-30 16:25:00,4881.15
528577,2010-10-22 13:13:00,4874.90
502758,2010-03-26 13:45:00,4865.70
530391,2010-11-02 17:12:00,4862.16
513574,2010-06-25 15:13:00,4852.70
495239,2010-01-22 10:01:00,4850.93
522132,2010-09-13 09:57:00,4847.52
508096,2010-05-13 08:59:00,4815.80
508095,2010-05-13 08:57:00,4798.80
535407,2010-11-26 11:20:00,4786.59
507179,2010-05-06 15:24:00,4751.16
532953,2010-11-15 12:17:00,4747.75
534006,2010-11-19 14:29:00,4742.33
489889,2009-12-02 16:52:00,4734.24
527113,2010-10-14 17:33:00,4733.52
491043,2009-12-09 09:51:00,4725.77
535413,2010-11-26 11:34:00,4713.26
516194,2010-07-19 10:04:00,4692.92
490963,2009-12-08 15:49:00,4646.49
534709,2010-11-23 16:53:00,4624.53
525037,2010-10-03 12:40:00,4623.34
512759,2010-06-17 15:51:00,4620.86
503907,2010-04-08 12:23:00,4614.18
503871,2010-04-08 11:36:00,4607.50
501473,2010-03-16 16:31:00,4607.30
533120,2010-11-16 12:32:00,4604.38
511435,2010-06-08 11:51:00,4588.62
491970,2009-12-14 18:03:00,4588.33
501685,2010-03-18 16:35:00,4580.00
526155,2010-10-08 15:56:00,4486.11
491041,2009-12-09 09:42:00,4475.84
489856,2009-12-02 14:36:00,4463.74
513331,2010-06-23 17:35:00,4453.80
494875,2010-01-19 12:31:00,4448.09
522582,2010-09-15 12:16:00,4422.25
492303,2009-12-16 11:57:00,4398.65
495906,2010-01-27 12:39:00,4385.71
490018,2009-12-03 12:31:00,4380.00
525286,2010-10-05 08:34:00,4377.52
499170,2010-02-25 09:40:00,4376.25
498133,2010-02-16 17:24:00,4367.30
491971,2009-12-14 18:37:00,4351.79
535322,2010-11-25 15:19:00,4312.81
493079,2009-12-22 09:52:00,4304.38
533737,2010-11-18 13:55:00,4235.04
528951,2010-10-25 16:43:00,4227.00
505150,2010-04-20 11:40:00,4217.59
526267,2010-10-11 10:56:00,4215.74
532358,2010-11-11 17:05:00,4176.00
512807,2010-06-18 11:21:00,4175.02
498928,2010-02-24 10:18:00,4168.98
499298,2010-02-25 20:18:00,4122.00
532139,2010-11-11 11:18:00,4118.57
492783,2009-12-18 17:15:00,4117.06
527796,2010-10-19 11:14:00,4098.96
531561,2010-11-09 10:09:00,4098.96
536783,2010-12-02 15:19:00,4076.48
525970,2010-10-08 10:21:00,4045.00
534289,2010-11-22 11:25:00,4042.23
532140,2010-11-11 11:31:00,4027.50
498910,2010-02-23 15:17:00,4010.08
532613,2010-11-12 15:20:00,4008.59
490061,2009-12-03 13:42:00,4000.00
530799,2010-11-04 12:31:00,3993.64
533348,2010-11-17 09:22:00,3981.99
533348,2010-11-17 09:23:00,3981.99
516430,2010-07-20 11:47:00,3970.13
520214,2010-08-25 07:46:00,3963.76
521566,2010-09-07 10:54:00,3960.10
527174,2010-10-15 11:40:00,3950.97
517253,2010-07-27 15:45:00,3947.58
529613,2010-10-29 10:46:00,3942.00
533280,2010-11-16 15:27:00,3924.42
514082,2010-06-30 12:02:00,3921.74
533338,2010-11-16 18:18:00,3906.83
534459,2010-11-23 09:12:00,3891.06
491148,2009-12-10 07:43:00,3882.66
530850,2010-11-04 14:49:00,3879.46
532642,2010-11-12 17:00:00,3874.10
505335,2010-04-21 13:00:00,3857.20
520406,2010-08-26 09:23:00,3846.98
522124,2010-09-13 09:35:00,3845.04
532419,2010-11-12 09:18:00,3829.67
518735,2010-08-11 11:58:00,3814.16
490957,2009-12-08 15:12:00,3796.37
537899,2010-12-09 10:44:00,3794.40
498398,2010-02-18 15:19:00,3788.34
524147,2010-09-27 15:36:00,3787.88
524155,2010-09-27 16:00:00,3787.88
516775,2010-07-22 19:23:00,3787.06
526089,2010-10-08 12:14:00,3767.62
515932,2010-07-15 14:47:00,3761.64
521339,2010-09-03 12:52:00,3752.40
532993,2010-11-15 14:26:00,3751.70
507292,2010-05-07 14:28:00,3751.54
504715,2010-04-16 10:27:00,3720.24
534319,2010-11-22 11:37:00,3717.83
505984,2010-04-27 09:35:00,3707.92
523166,2010-09-20 15:33:00,3707.40
508501,2010-05-16 15:39:00,3681.00
516270,2010-07-19 12:22:00,3678.86
493812,2010-01-07 11:52:00,3677.90
532826,2010-11-15 09:32:00,3675.39
493981,2010-01-10 12:06:00,3654.38
534389,2010-11-22 13:02:00,3650.42
526239,2010-10-11 09:04:00,3648.60
530648,2010-11-04 08:41:00,3621.66
511164,2010-06-07 12:02:00,3610.50
511176,2010-06-07 12:09:00,3610.50
517483,2010-07-29 12:29:00,3610.50
509873,2010-05-26 11:12:00,3596.70
495073,2010-01-21 08:47:00,3590.07
499399,2010-02-26 13:26:00,3537.82
493883,2010-01-08 10:06:00,3528.00
531837,2010-11-10 08:56:00,3525.52
513963,2010-06-29 15:17:00,3499.80
517393,2010-07-29 10:00:00,3485.50
522792,2010-09-16 14:52:00,3485.31
492237,2009-12-15 19:11:00,3480.00
533740,2010-11-18 14:07:00,3466.40
532296,2010-11-11 13:48:00,3465.00
494386,2010-01-14 09:41:00,3447.01
514509,2010-07-04 13:10:00,3439.02
519462,2010-08-17 11:21:00,3434.61
501006,2010-03-11 14:33:00,3425.26
531036,2010-11-05 11:58:00,3424.08
517404,2010-07-29 11:01:00,3417.12
492418,2009-12-16 17:27:00,3416.72
531843,2010-11-10 09:34:00,3391.29
505450,2010-04-22 11:21:00,3374.80
508529,2010-05-17 11:12:00,3363.57
498723,2010-02-22 14:54:00,3360.00
494814,2010-01-19 09:05:00,3354.23
531489,2010-11-08 15:02:00,3331.80
511556,2010-06-09 10:02:00,3330.52
535988,2010-11-29 13:21:00,3321.38
517250,2010-07-27 15:08:00,3297.60
493181,2009-12-22 12:01:00,3284.88
514729,2010-07-06 09:52:00,3274.40
520906,2010-09-01 10:30:00,3271.98
494016,2010-01-11 09:35:00,3266.57
505747,2010-04-26 07:20:00,3256.64
492226,2009-12-15 18:33:00,3251.87
491091,2009-12-09 13:34:00,3249.32
512754,2010-06-17 15:26:00,3248.86
503955,2010-04-08 16:43:00,3242.22
519390,2010-08-16 14:43:00,3237.60
523200,2010-09-21 09:26:00,3231.27
494782,2010-01-18 13:15:00,3213.70
502759,2010-03-26 13:46:00,3208.44
524837,2010-09-30 17:39:00,3196.48
536387,2010-12-01 09:58:00,3193.92
501161,2010-03-15 09:28:00,3190.65
505396,2010-04-22 09:50:00,3181.97
500751,2010-03-10 10:25:00,3176.34
511277,2010-06-07 13:33:00,3175.50
504933,2010-04-19 11:13:00,3170.85
494378,2010-01-13 17:03:00,3163.80
498161,2010-02-17 12:03:00,3157.06
530434,2010-11-03 10:47:00,3153.80
494678,2010-01-18 09:12:00,3151.00
500462,2010-03-08 12:40:00,3144.03
524185,2010-09-28 09:12:00,3138.04
501614,2010-03-18 10:58:00,3137.85
531799,2010-11-09 15:39:00,3119.00
531387,2010-11-08 09:20:00,3110.28
533065,2010-11-15 17:04:00,3108.89
489702,2009-12-02 10:52:00,3108.64
519800,2010-08-20 12:28:00,3101.89
532829,2010-11-15 09:54:00,3092.40
538153,2010-12-09 16:31:00,3091.82
525764,2010-10-07 10:39:00,3084.02
529203,2010-10-27 09:59:00,3083.12
516378,2010-07-20 11:06:00,3078.21
503807,2010-04-07 14:12:00,3068.68
530060,2010-11-01 11:35:00,3056.07
503940,2010-04-08 14:47:00,3049.34
510983,2010-06-04 12:23:00,3043.36
515296,2010-07-09 15:20:00,3031.40
500575,2010-03-08 16:53:00,3022.77
530140,2010-11-01 16:45:00,3020.53
498114,2010-02-16 14:32:00,3019.35
532063,2010-11-10 14:48:00,3016.49
523011,2010-09-20 10:07:00,3013.02
534716,2010-11-23 17:43:00,3013.00
523010,2010-09-20 10:05:00,3000.72
493436,2010-01-04 13:03:00,3000.24
525760,2010-10-07 10:36:00,2990.44
500126,2010-03-04 14:41:00,2985.50
520173,2010-08-24 13:20:00,2982.82
533820,2010-11-19 09:34:00,2977.73
524969,2010-10-01 14:38:00,2971.06
515281,2010-07-09 13:53:00,2970.75
504928,2010-04-19 10:59:00,2970.60
504146,2010-04-11 13:10:00,2969.60
503426,2010-03-31 17:28:00,2964.58
500918,2010-03-11 10:30:00,2956.62
498163,2010-02-17 12:12:00,2947.10
536162,2010-11-30 12:07:00,2945.38
505202,2010-04-20 16:21:00,2940.16
501545,2010-03-17 14:59:00,2917.76
513099,2010-06-21 15:13:00,2913.41
516131,2010-07-16 15:26:00,2903.71
520504,2010-08-26 12:43:00,2901.00
528954,2010-10-26 08:11:00,2900.57
493073,2009-12-22 09:41:00,2898.36
489539,2009-12-01 12:18:00,2887.14
493258,2009-12-22 14:19:00,2872.04
514876,2010-07-07 10:33:00,2869.52
530325,2010-11-02 13:36:00,2860.44
520736,2010-08-31 09:31:00,2837.88
510204,2010-05-28 07:51:00,2837.04
498152,2010-02-17 10:51:00,2836.80
526945,2010-10-14 10:30:00,2832.48
510727,2010-06-03 10:28:00,2831.82
503542,2010-04-01 14:19:00,2831.66
529727,2010-10-29 14:12:00,2825.85
510772,2010-06-03 14:02:00,2822.61
516153,2010-07-18 11:35:00,2819.16
505745,2010-04-26 07:17:00,2816.62
525335,2010-10-05 11:24:00,2816.48
520063,2010-08-23 16:02:00,2815.29
507393,2010-05-09 12:49:00,2814.41
513776,2010-06-28 14:01:00,2814.00
531544,2010-11-09 07:56:00,2807.90
497937,2010-02-15 10:49:00,2805.00
523576,2010-09-22 16:26:00,2803.20
517953,2010-08-03 11:56:00,2780.32
502525,2010-03-25 11:28:00,2779.34
519468,2010-08-17 11:52:00,2777.12
494381,2010-01-13 17:44:00,2774.61
522798,2010-09-16 15:14:00,2769.90
524162,2010-09-27 16:18:00,2769.90
525403,2010-10-05 11:53:00,2769.90
528579,2010-10-22 13:18:00,2764.00
504918,2010-04-19 10:36:00,2753.11
537793,2010-12-08 12:57:00,2746.75
525011,2010-10-03 10:52:00,2736.16
529356,2010-10-28 09:44:00,2736.16
499765,2010-03-02 13:15:00,2734.43
536785,2010-12-02 15:22:00,2730.96
532823,2010-11-15 09:02:00,2716.34
493995,2010-01-10 13:50:00,2699.44
508217,2010-05-13 14:57:00,2691.59
498724,2010-02-22 14:59:00,2685.54
518206,2010-08-05 11:55:00,2675.14
537852,2010-12-08 15:56:00,2671.27
526860,2010-10-13 13:02:00,2667.88
527258,2010-10-15 12:40:00,2667.88
500903,2010-03-11 10:13:00,2655.96
514280,2010-07-01 11:59:00,2654.01
534640,2010-11-23 13:02:00,2646.70
496237,2010-01-29 14:37:00,2646.40
500232,2010-03-05 11:22:00,2640.00
502532,2010-03-25 11:31:00,2640.00
512282,2010-06-14 14:06:00,2623.72
504332,2010-04-12 16:30:00,2622.48
530346,2010-11-02 15:42:00,2613.94
501874,2010-03-21 12:31:00,2613.62
534763,2010-11-24 10:21:00,2612.89
502486,2010-03-24 17:43:00,2610.78
511853,2010-06-11 08:08:00,2608.04
502746,2010-03-26 12:53:00,2593.76
507210,2010-05-06 17:22:00,2593.62
490785,2009-12-08 11:23:00,2590.80
502771,2010-03-26 14:29:00,2585.75
493395,2009-12-23 13:41:00,2583.23
521182,2010-09-02 16:14:00,2578.14
522626,2010-09-15 16:22:00,2576.88
523768,2010-09-24 10:29:00,2573.64
530970,2010-11-05 09:35:00,2570.77
537235,2010-12-06 09:45:00,2567.64
501080,2010-03-12 11:19:00,2566.29
493393,2009-12-23 13:00:00,2565.83
533074,2010-11-16 07:52:00,2561.94
520663,2010-08-27 12:50:00,2561.28
519817,2010-08-20 13:41:00,2560.40
517454,2010-07-29 11:22:00,2559.35
536576,2010-12-01 16:11:00,2558.42
532163,2010-11-11 12:19:00,2552.79
495343,2010-01-22 18:05:00,2550.86
524711,2010-09-30 12:46:00,2545.85
524714,2010-09-30 12:51:00,2545.85
525498,2010-10-05 16:47:00,2545.85
501918,2010-03-22 10:14:00,2545.44
499789,2010-03-02 14:59:00,2544.20
508094,2010-05-13 08:56:00,2532.82
506162,2010-04-28 09:15:00,2525.86
531395,2010-11-08 10:07:00,2520.84
505977,2010-04-27 09:01:00,2519.52
527418,2010-10-17 15:40:00,2518.00
534793,2010-11-24 11:42:00,2514.72
525753,2010-10-07 10:19:00,2510.11
502300,2010-03-24 09:07:00,2509.90
495185,2010-01-21 14:01:00,2507.06
490083,2009-12-03 15:35:00,2506.14
520824,2010-08-31 12:30:00,2502.35
531069,2010-11-05 12:10:00,2496.96
517391,2010-07-29 09:19:00,2496.60
494685,2010-01-18 11:39:00,2490.99
523338,2010-09-21 15:14:00,2487.20
525438,2010-10-05 13:29:00,2486.34
526806,2010-10-13 11:39:00,2485.48
520041,2010-08-23 14:12:00,2484.16
530422,2010-11-03 09:36:00,2481.67
518900,2010-08-12 14:11:00,2480.48
536477,2010-12-01 12:27:00,2474.74
514369,2010-07-02 08:26:00,2464.63
510519,2010-06-01 13:49:00,2463.82
489599,2009-12-01 14:40:00,2454.68
490933,2009-12-08 13:46:00,2452.56
504667,2010-04-15 15:07:00,2451.26
537645,2010-12-07 15:34:00,2448.29
499299,2010-02-25 20:19:00,2448.00
538149,2010-12-09 16:27:00,2446.16
525008,2010-10-03 10:50:00,2443.98
490956,2009-12-08 15:10:00,2442.72
532853,2010-11-15 10:51:00,2442.00
529306,2010-10-27 12:52:00,2434.50
494017,2010-01-11 09:37:00,2434.17
503151,2010-03-30 12:26:00,2429.42
493799,2010-01-07 11:12:00,2427.60
511544,2010-06-08 17:48:00,2422.78
537643,2010-12-07 15:34:00,2416.59
537393,2010-12-06 13:59:00,2415.04
506003,2010-04-27 11:15:00,2409.22
493260,2009-12-22 14:31:00,2405.62
510637,2010-06-02 11:54:00,2404.58
518792,2010-08-12 10:00:00,2403.84
521568,2010-09-07 10:59:00,2403.10
536865,2010-12-03 11:28:00,2396.96
510041,2010-05-26 15:56:00,2396.61
530753,2010-11-04 11:56:00,2395.73
500400,2010-03-08 11:32:00,2394.00
527416,2010-10-17 15:34:00,2392.46
530708,2010-11-04 11:29:00,2389.62
493877,2010-01-07 19:34:00,2388.82
521403,2010-09-06 10:19:00,2382.92
529325,2010-10-27 14:10:00,2382.35
499521,2010-03-01 10:14:00,2377.38
494515,2010-01-15 10:24:00,2370.78
525503,2010-10-05 16:57:00,2366.40
525113,2010-10-04 11:30:00,2366.12
500472,2010-03-08 12:44:00,2362.74
537034,2010-12-03 17:20:00,2355.18
501306,2010-03-15 17:29:00,2355.16
521357,2010-09-03 16:04:00,2349.24
523713,2010-09-23 15:43:00,2344.70
492098,2009-12-15 14:05:00,2343.72
535902,2010-11-29 11:24:00,2340.34
494495,2010-01-14 17:43:00,2336.36
500091,2010-03-04 12:06:00,2332.04
498249,2010-02-17 14:39:00,2329.48
529597,2010-10-29 08:48:00,2328.58
513987,2010-06-30 08:30:00,2326.74
506146,2010-04-27 16:45:00,2323.34
492005,2009-12-15 11:25:00,2320.20
499267,2010-02-25 16:01:00,2320.03
532252,2010-11-11 12:45:00,2318.95
504166,2010-04-12 07:14:00,2318.40
533516,2010-11-17 14:53:00,2318.27
499422,2010-02-26 16:33:00,2311.42
530087,2010-11-01 13:33:00,2311.01
529315,2010-10-27 13:29:00,2310.24
505744,2010-04-26 07:15:00,2310.00
502872,2010-03-29 09:59:00,2309.11
491953,2009-12-14 15:57:00,2308.50
532305,2010-11-11 14:23:00,2301.96
502333,2010-03-24 10:42:00,2300.40
494379,2010-01-13 17:08:00,2300.09
536183,2010-11-30 12:28:00,2295.92
525221,2010-10-04 12:51:00,2293.45
506581,2010-04-30 14:10:00,2292.48
530966,2010-11-05 08:27:00,2292.18
504916,2010-04-19 10:28:00,2291.74
527520,2010-10-18 13:18:00,2290.46
531861,2010-11-10 10:45:00,2287.26
493796,2010-01-07 11:03:00,2287.20
500891,2010-03-10 16:24:00,2286.30
489438,2009-12-01 09:24:00,2286.24
490937,2009-12-08 13:58:00,2285.58
525475,2010-10-05 15:17:00,2285.31
515930,2010-07-15 14:38:00,2284.92
515936,2010-07-15 15:00:00,2284.92
527957,2010-10-19 16:38:00,2269.86
523655,2010-09-23 13:26:00,2268.64
521488,2010-09-06 13:42:00,2267.60
537256,2010-12-06 11:06:00,2263.80
502030,2010-03-22 13:11:00,2259.82
528159,2010-10-21 07:48:00,2255.96
531478,2010-11-08 14:20:00,2253.22
524125,2010-09-27 14:20:00,2245.93
515254,2010-07-09 11:44:00,2243.06
511018,2010-06-04 15:50:00,2237.69
505214,2010-04-21 10:04:00,2236.61
527273,2010-10-15 13:10:00,2225.71
527271,2010-10-15 13:05:00,2225.17
494784,2010-01-18 13:20:00,2222.20
506230,2010-04-28 12:27:00,2222.08
514387,2010-07-02 11:44:00,2216.39
538148,2010-12-09 16:26:00,2215.27
503810,2010-04-07 14:16:00,2213.20
497590,2010-02-10 17:59:00,2205.70
521430,2010-09-06 11:22:00,2204.76
499980,2010-03-03 15:28:00,2204.73
511778,2010-06-10 12:37:00,2199.39
520681,2010-08-27 15:28:00,2197.45
524098,2010-09-27 12:21:00,2190.94
528118,2010-10-20 14:28:00,2180.00
493761,2010-01-06 14:54:00,2179.08
503401,2010-03-31 16:31:00,2174.84
507845,2010-05-11 14:00:00,2174.10
536784,2010-12-02 15:20:00,2170.90
537642,2010-12-07 15:33:00,2164.51
500827,2010-03-10 11:10:00,2163.04
500827,2010-03-10 11:11:00,2163.04
514728,2010-07-06 09:51:00,2162.18
498434,2010-02-18 18:20:00,2160.72
492236,2009-12-15 19:09:00,2156.00
523989,2010-09-26 14:15:00,2154.15
508643,2010-05-17 15:30:00,2153.42
513762,2010-06-28 12:58:00,2151.27
531138,2010-11-05 14:09:00,2147.82
534209,2010-11-21 15:55:00,2146.31
513919,2010-06-29 12:11:00,2145.00
504879,2010-04-18 12:49:00,2142.40
504336,2010-04-12 16:38:00,2139.40
499619,2010-03-01 12:47:00,2135.46
500389,2010-03-08 11:26:00,2133.16
510623,2010-06-02 11:11:00,2131.62
493863,2010-01-07 16:46:00,2130.30
502883,2010-03-29 10:44:00,2121.36
507246,2010-05-07 10:46:00,2121.36
527971,2010-10-20 10:09:00,2120.09
504542,2010-04-14 12:17:00,2113.68
508654,2010-05-17 15:54:00,2102.16
500461,2010-03-08 12:35:00,2101.69
523709,2010-09-23 15:12:00,2095.50
511678,2010-06-09 15:07:00,2090.88
498931,2010-02-24 10:24:00,2087.68
507253,2010-05-07 11:35:00,2085.00
518950,2010-08-12 15:06:00,2083.42
530834,2010-11-04 13:46:00,2074.42
521202,2010-09-02 17:52:00,2072.72
518737,2010-08-11 12:05:00,2063.88
508228,2010-05-13 16:49:00,2063.35
509216,2010-05-21 10:25:00,2062.66
522953,2010-09-19 11:53:00,2060.26
530332,2010-11-02 13:57:00,2055.41
493696,2010-01-05 13:32:00,2054.79
489723,2009-12-02 10:58:00,2052.12
510539,2010-06-01 14:40:00,2051.84
495406,2010-01-25 09:54:00,2047.72
503549,2010-04-01 15:04:00,2047.69
519714,2010-08-19 15:45:00,2047.28
494387,2010-01-14 09:46:00,2045.89
506100,2010-04-27 13:06:00,2043.36
510965,2010-06-04 11:37:00,2036.70
518660,2010-08-10 14:03:00,2036.08
529504,2010-10-28 14:19:00,2035.00
511886,2010-06-11 10:47:00,2031.48
525878,2010-10-07 14:21:00,2027.70
508196,2010-05-13 13:30:00,2026.71
512177,2010-06-14 12:01:00,2024.06
520082,2010-08-24 10:41:00,2023.64
537618,2010-12-07 13:50:00,2022.16
493439,2010-01-04 13:25:00,2021.72
502764,2010-03-26 14:01:00,2021.23
500749,2010-03-10 10:01:00,2017.36
528331,2010-10-21 13:39:00,2013.74
512589,2010-06-16 16:04:00,2012.10
499246,2010-02-25 13:40:00,2011.51
534396,2010-11-22 13:15:00,2005.68
536830,2010-12-02 17:38:00,2002.40
530588,2010-11-03 14:52:00,1993.34
517242,2010-07-27 14:41:00,1992.00
515013,2010-07-07 16:29:00,1991.06
526151,2010-10-08 15:19:00,1989.29
537456,2010-12-07 09:43:00,1989.24
519560,2010-08-18 11:34:00,1982.14
503823,2010-04-07 14:59:00,1981.51
491431,2009-12-11 09:58:00,1980.00
494022,2010-01-11 09:55:00,1980.00
507975,2010-05-12 10:45:00,1980.00
521313,2010-09-03 11:55:00,1980.00
523315,2010-09-21 13:26:00,1980.00
499858,2010-03-02 17:04:00,1979.96
495804,2010-01-26 17:48:00,1975.97
496611,2010-02-02 18:01:00,1970.76
530513,2010-11-03 12:20:00,1970.40
516112,2010-07-16 13:53:00,1970.27
493964,2010-01-08 16:29:00,1970.19
501148,2010-03-14 13:40:00,1968.98
500353,2010-03-07 15:24:00,1966.84
500353,2010-03-07 15:25:00,1966.84
520707,2010-08-29 12:43:00,1963.53
531870,2010-11-10 11:37:00,1963.20
525698,2010-10-06 12:36:00,1962.80
512955,2010-06-21 10:30:00,1956.84
504550,2010-04-14 12:56:00,1954.99
492439,2009-12-17 10:39:00,1952.64
514221,2010-07-01 09:56:00,1950.98
521822,2010-09-09 10:37:00,1948.74
499523,2010-03-01 10:17:00,1945.80
499524,2010-03-01 10:19:00,1943.52
503428,2010-03-31 17:31:00,1939.80
535321,2010-11-25 15:14:00,1938.40
494643,2010-01-17 11:55:00,1936.74
