description,revenue
FELTCRAFT DOLL ROSIE,8380.55
BEWARE OF THE CAT METAL SIGN ,8358.41
RED GINGHAM ROSE JEWELLERY BOX,8340.83
RETRO SPOT LARGE MILK JUG,8311.28
SET/6 RED SPOTTY PAPER PLATES,8295.47
WOODEN ADVENT CALENDAR CREAM,8285.50
PACK OF 12 SUKI TISSUES ,8274.77
FELTCRAFT DOLL MOLLY,8270.43
WHITE WIRE EGG HOLDER,8256.57
DOORMAT 3 SMILEY CATS,8250.73
WHITE WOOD GARDEN PLANT LADDER,8237.32
DOOR MAT FANCY FONT HOME SWEET HOME,8231.31
DOORMAT WELCOME PUPPIES,8198.28
DELUXE SEWING KIT ,8154.67
GREEN REGENCY TEACUP AND SAUCER,8098.77
FELTCRAFT CHRISTMAS FAIRY,8089.29
TEA TIME TABLE CLOTH,8086.25
PINK DOUGHNUT TRINKET POT ,8070.26
RED/WHITE DOT MINI CASES,8053.17
FIRST AID TIN,8041.45
STRAWBERRY CHARLOTTE BAG,8030.15
CREAM SWEETHEART WALL CABINET,8018.49
RECIPE BOX PANTRY YELLOW DESIGN,8013.95
DOORMAT AIRMAIL ,8013.15
"RECORD FRAME 7"" SINGLE SIZE ",8006.70
POTTING SHED TEA MUG,7995.49
SET/2 RED SPOTTY TEA TOWELS ,7969.42
RIBBON REEL STRIPES DESIGN ,7948.49
GLITTER BUTTERFLY CLIPS,7939.53
SET/10 RED SPOTTY PARTY CANDLES,7909.52
METAL 4 HOOK HANGER FRENCH CHATEAU,7890.05
BABUSHKA LIGHTS STRING OF 10,7887.36
WEEKEND BAG VINTAGE ROSE PAISLEY,7866.83
FRYING PAN UNION FLAG,7844.07
CLASSIC METAL BIRDCAGE PLANT HOLDER,7831.29
RED RETROSPOT PICNIC BAG,7815.61
FAIRY CAKE FLANNEL ASSORTED COLOUR,7795.12
DOORMAT RED SPOT,7765.42
BLUE HARMONICA IN BOX ,7719.54
60 CAKE CASES VINTAGE CHRISTMAS,7717.17
WHITE SPOT RED CERAMIC DRAWER KNOB,7710.16
RETRO COFFEE MUGS ASSORTED,7690.43
SET 10 LIGHTS NIGHT OWL,7681.90
VINTAGE POST OFFICE CABINET,7635.07
PACK OF 72 RETROSPOT CAKE CASES,7628.56
VINTAGE SNAKES & LADDERS,7620.79
SET OF 20 VINTAGE CHRISTMAS NAPKINS,7589.97
GARDENERS KNEELING PAD,7574.66
HANGING METAL HEART LANTERN,7565.80
PACK 3 BOXES CHRISTMAS PANNETONE,7520.33
RED SPOTTY COIR DOORMAT,7516.09
SET OF 2 WOODEN MARKET CRATES,7500.24
WHITE SPOT BLUE CERAMIC DRAWER KNOB,7496.31
VICTORIAN SEWING BOX MEDIUM,7479.46
TOY TIDY SPACEBOY  ,7461.06
STRAWBERRY LUNCH BOX WITH CUTLERY,7435.80
DOORMAT ENGLISH ROSE ,7426.43
CERAMIC STRAWBERRY CAKE MONEY BANK,7423.54
RETRO SPOT TRADITIONAL TEAPOT ,7408.23
SET 3 WICKER LOG BASKETS,7402.56
"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",7399.84
PAPER BUNTING COLOURED LACE,7399.44
VICTORIAN SEWING BOX SMALL ,7393.68
STRAWBERRY FAIRY CAKE TEAPOT,7387.74
MA CAMPAGNE CUTLERY BOX,7355.77
COFFEE MUG CAT + BIRD DESIGN,7355.08
SET OF 36 TEATIME PAPER DOILIES,7346.68
CREAM SWEETHEART LETTER RACK,7339.86
NOEL WOODEN BLOCK LETTERS ,7328.98
DOOR MAT BLACK FLOCK ,7318.79
EDWARDIAN PARASOL PINK,7313.89
TEA TIME TEA TOWELS ,7270.01
GREEN 3 PIECE MINI DOTS CUTLERY SET,7261.06
CREAM SWEETHEART TRAYS,7210.39
ALARM CLOCK BAKELIKE RED ,7190.24
BINGO SET,7182.05
BOX OF VINTAGE JIGSAW BLOCKS ,7169.32
SET OF 3 NOTEBOOKS IN PARCEL,7158.50
KINGS CHOICE BISCUIT TIN,7153.53
PACK OF 6 PANNETONE GIFT BOXES,7136.58
FULL ENGLISH BREAKFAST PLATE,7130.91
SAVE THE PLANET MUG,7122.20
STRAWBERRY   PICNIC BAG,7094.81
DOOR MAT MULTICOLOUR STRIPE,7085.77
YOU'RE CONFUSING ME METAL SIGN ,7080.71
DOORMAT TOPIARY,7077.19
WICKER STAR ,7077.18
SET/10 PINK SPOTTY PARTY CANDLES,7044.66
SET/6 PINK  BUTTERFLY T-LIGHTS,7043.69
FOLKART ZINC HEART CHRISTMAS DEC,7027.47
SET OF 3 HEART COOKIE CUTTERS,7014.17
SET OF 20 KIDS COOKIE CUTTERS,7006.57
SET OF 36 PAISLEY FLOWER DOILIES,6997.70
DOORMAT RESPECTABLE HOUSE,6990.96
"ASSORTED FLOWER COLOUR ""LEIS""",6984.37
DOORMAT BLACK FLOCK ,6982.81
S/6 WOODEN SKITTLES IN COTTON BAG,6951.64
BLUE STRIPE CERAMIC DRAWER KNOB,6923.86
WALL MOUNTED VINTAGE ORGANISER,6896.34
SUKI  SHOULDER BAG,6860.70
MINT KITCHEN SCALES,6860.29
FELTCRAFT DOLL EMILY,6821.12
ENAMEL FLOWER JUG CREAM,6798.45
SET3 BOOK BOX GREEN GINGHAM FLOWER ,6795.30
TWO DOOR CURIO CABINET,6773.05
WOODEN HAPPY BIRTHDAY GARLAND,6757.87
CLOTHES PEGS RETROSPOT PACK 24 ,6752.90
SOMBRERO ,6739.85
OPEN CLOSED METAL SIGN,6710.57
DOOR MAT TOPIARY,6703.11
LUNCH BOX WITH CUTLERY RETROSPOT ,6699.51
PINK/BROWN DOTS RUFFLED UMBRELLA,6670.40
RETROSPOT CHILDRENS APRON,6661.48
PACK OF 60 SPACEBOY CAKE CASES,6654.95
CREAM SWEETHEART SHELF + HOOKS,6625.39
COFFEE MUG DOG + BALL DESIGN,6619.69
FELTCRAFT PRINCESS CHARLOTTE DOLL,6539.92
SET/3 RED GINGHAM ROSE STORAGE BOX,6537.00
RED STRIPE CERAMIC DRAWER KNOB,6521.88
POLKADOT CUTLERY 24 PCS IN TRAY,6467.80
PINK PARTY BAGS,6464.32
MOROCCAN TEA GLASS,6456.88
ALARM CLOCK BAKELIKE GREEN,6443.56
AFGHAN SLIPPER SOCK PAIR,6441.55
RED RETROSPOT SMALL MILK JUG,6432.13
CARRIAGE,6400.00
AREA PATROLLED METAL SIGN,6397.30
CAMOUFLAGE LED TORCH,6377.26
RED SPOT CERAMIC DRAWER KNOB,6373.34
LUNCH BAG RED RETROSPOT,6348.17
PINK FAIRY CAKE CHILD'S APRON,6343.07
3 STRIPEY MICE FELTCRAFT,6332.58
SET OF 72 PINK HEART PAPER DOILIES,6330.03
PINK REGENCY TEACUP AND SAUCER,6315.76
PLASTERS IN TIN SKULLS,6293.19
NATURAL SLATE RECTANGLE CHALKBOARD,6280.74
PACK OF 12 HEARTS DESIGN TISSUES ,6264.01
SET OF 6 SOLDIER SKITTLES,6257.28
ADVENT CALENDAR GINGHAM SACK,6234.58
COFFEE MUG APPLES DESIGN,6215.93
WHITE BEADED GARLAND STRING 20LIGHT,6213.63
SET/5 RED RETROSPOT LID GLASS BOWLS,6202.89
RETRO RED SPOTTY WASHING UP GLOVES,6195.29
BLUE SPOT CERAMIC DRAWER KNOB,6142.30
PACK 20 ENGLISH ROSE PAPER NAPKINS,6128.25
ENCHANTED BIRD COATHANGER 5 HOOK,6124.32
LOVE LARGE WOOD LETTERS ,6092.91
FOOD CONTAINER SET 3 LOVE HEART ,6091.15
MINI CAKE STAND  HANGING STRAWBERY,6080.50
I CAN ONLY PLEASE ONE PERSON MUG,6075.32
PINK FAIRY CAKE CHILDRENS APRON,6065.41
IVORY HANGING DECORATION  HEART,6058.00
PARTY METAL SIGN ,6054.34
PAPER CHAIN KIT RETROSPOT,6020.53
I'M ON HOLIDAY METAL SIGN,6020.25
SET OF 3 BUTTERFLY COOKIE CUTTERS,6009.08
CHARLIE+LOLA PINK HOT WATER BOTTLE,6007.24
TRADITIONAL WOODEN CATCH CUP GAME ,5996.91
DOORMAT HOME SWEET HOME BLUE ,5986.12
RED RETROSPOT MUG,5984.02
PACK OF 12 RED SPOTTY TISSUES ,5975.43
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5973.90
SET/10 BLUE SPOTTY PARTY CANDLES,5971.95
CAKE STAND WHITE TWO TIER LACE,5956.04
SET/3 VANILLA SCENTED CANDLE IN BOX,5939.04
PACK OF 12 PINK PAISLEY TISSUES ,5929.26
TEA BAG PLATE RED SPOTTY ,5867.04
KINGS CHOICE TEA CADDY ,5858.03
6 EGG HOUSE PAINTED WOOD,5838.92
CORONA MEXICAN TRAY,5811.44
GAOLERS KEYS DECORATIVE GARDEN ,5796.84
LIGHT PINK CHERRY LIGHTS,5778.39
Adjustment by john on 26/01/2010 17,5762.96
CHARLIE + LOLA RED HOT WATER BOTTLE,5762.25
LARGE CIRCULAR MIRROR MOBILE,5753.78
GLASS CAKE COVER AND PLATE,5732.50
ROUND SNACK BOXES SET OF 4 SKULLS,5727.04
ROUND CONTAINER SET OF 5 RETROSPOT,5714.41
ZINC FOLKART SLEIGH BELLS,5709.04
PAPER BUNTING VINTAGE PAISLEY,5701.53
S/16 VINTAGE IVORY CUTLERY,5681.40
SET/6 RED SPOTTY PAPER CUPS,5665.61
CERAMIC HEART FAIRY CAKE MONEY BANK,5624.25
BOYS VINTAGE TIN SEASIDE BUCKET,5612.92
RED SPOTTY BOWL,5610.76
DOORMAT UNION JACK GUNS AND ROSES,5610.22
LAVENDER SCENTED FABRIC HEART,5590.33
SCANDINAVIAN REDS RIBBONS,5572.63
GLITTER HANGING BUTTERFLY STRING,5568.39
 SET 2 TEA TOWELS I LOVE LONDON ,5568.28
LARGE HEART MEASURING SPOONS,5565.69
RIBBON REEL LACE DESIGN ,5551.95
PACK OF 12 WOODLAND TISSUES ,5551.54
GINGHAM HEART  DOORSTOP RED,5543.96
LARGE RED SPOT WINDMILL,5529.72
CAKE STAND LOVEBIRD 2 TIER PINK,5528.62
POPPY'S PLAYHOUSE KITCHEN,5528.46
RED SPOTTY PLATE ,5513.06
GLASS  BEURRE DISH,5505.71
SMALL CHINESE STYLE SCISSOR,5503.64
COOKING SET RETROSPOT,5499.73
METAL MERRY CHRISTMAS WREATH,5493.88
CANDLEHOLDER PINK HANGING HEART,5486.28
KINGS CHOICE MUG,5477.66
VICTORIAN  METAL POSTCARD SPRING,5466.02
INFLATABLE POLITICAL GLOBE ,5454.46
GLASS HONEYPOT WASP CATCHER,5451.77
DOOR MAT UNION JACK GUNS AND ROSES,5446.48
GIRLS VINTAGE TIN SEASIDE BUCKET,5440.88
PLACE SETTING WHITE HEART,5412.06
PINK FLORAL FELTCRAFT SHOULDER BAG,5396.12
HAND WARMER BABUSHKA DESIGN,5395.82
JUMBO BAG CHARLIE AND LOLA TOYS,5382.41
POPPY'S PLAYHOUSE BEDROOM ,5365.47
PINK 3 PIECE POLKADOT CUTLERY SET,5363.65
KASHMIR FOLKART TUMBLERS,5358.84
WOOLLY HAT SOCK GLOVE ADVENT STRING,5337.15
TRADITIONAL CHRISTMAS RIBBONS,5323.09
LOVEBIRD HANGING DECORATION WHITE ,5317.89
SET OF 3 CASES WOODLAND DESIGN,5312.51
COFFEE MUG PEARS  DESIGN,5309.71
SET OF THREE VINTAGE GIFT WRAPS,5302.66
CARD HOLDER GINGHAM HEART,5284.56
ANT WHITE WIRE HEART SPIRAL,5263.17
LUNCH BAG DOLLY GIRL DESIGN,5246.38
RED SPOTTY PEG BAG,5239.20
FAIRY CAKE CANDLES,5233.59
DOORSTOP RETROSPOT HEART,5213.16
BATH BUILDING BLOCK WORD,5204.00
PICTURE DOMINOES,5178.38
TRADITIONAL WOODEN SKIPPING ROPE,5168.15
CIRCUS PARADE LUNCH BOX ,5166.49
FAIRY TALE COTTAGE NIGHTLIGHT,5163.68
RIBBON REEL HEARTS DESIGN ,5153.50
CHRISTMAS GINGHAM HEART,5142.76
10 COLOUR SPACEBOY PEN,5140.27
BOX OF 24 COCKTAIL PARASOLS,5127.08
CAKE STAND LACE WHITE,5123.41
FOUR HOOK  WHITE LOVEBIRDS,5122.14
RED SPOTS  WRAP ,5105.00
WELCOME  WOODEN BLOCK LETTERS,5098.88
RED FLORAL FELTCRAFT SHOULDER BAG,5078.17
CHRISTMAS LIGHTS 10 SANTAS ,5071.94
PACK OF 60 MUSHROOM CAKE CASES,5044.78
AGED GLASS SILVER T-LIGHT HOLDER,5029.36
CARDHOLDER HOLLY WREATH METAL,5022.21
12 EGG HOUSE PAINTED WOOD,5015.38
COSY HOUR GIANT TUBE MATCHES,5012.40
CERAMIC BOWL WITH STRAWBERRY DESIGN,5009.66
WASHROOM METAL SIGN,4970.19
GIRLS ALPHABET IRON ON PATCHES ,4957.93
RETRO SPOT LAMP,4955.47
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,4952.26
ENGLISH ROSE DESIGN PEG BAG,4948.55
PHOTO CUBE,4943.67
WHEELBARROW FOR CHILDREN ,4931.15
CERAMIC CAKE BOWL + HANGING CAKES,4906.00
VINYL RECORD FRAME SILVER,4904.52
RED RETROSPOT UMBRELLA,4895.98
ROSE CARAVAN DOORSTOP,4884.14
HAND WARMER RED POLKA DOT,4876.20
WOODEN REGATTA BUNTING,4847.45
"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",4827.95
RED RETROSPOT BUTTER DISH,4827.76
WHITE LOVEBIRD LANTERN,4817.04
POLKADOT PEN,4816.27
"HOOK, 5 HANGER , MAGIC TOADSTOOL",4813.35
BIG DOUGHNUT FRIDGE MAGNETS,4812.27
PACK OF 12 LONDON TISSUES ,4769.22
CAKE STAND LOVEBIRD 2 TIER WHITE,4751.99
PIGGY BANK RETROSPOT ,4743.10
FAIRY CAKE DESIGN UMBRELLA,4729.50
CERAMIC CAKE DESIGN SPOTTED MUG,4717.91
RED SPOTTY CHILDS UMBRELLA,4696.29
CHRISTMAS METAL TAGS ASSORTED ,4692.87
DOOR MAT BIRD ON THE WIRE,4691.77
RED SPOTTY CHILDS APRON,4682.13
RETRO SPORT PARTY BAG + STICKER SET,4680.98
BOTTLE BAG RETROSPOT ,4665.80
CALENDAR PAPER CUT DESIGN,4643.98
PINK  SPOTTY PLATE ,4636.64
DOORMAT MULTICOLOUR STRIPE,4628.76
MINI WOODEN HAPPY BIRTHDAY GARLAND,4604.45
SKULL LUNCH BOX WITH CUTLERY ,4601.38
BLUE 3 PIECE POLKADOT CUTLERY SET,4595.04
BROWN CHECK CAT DOORSTOP ,4589.48
RECIPE BOX BLUE SKETCHBOOK DESIGN,4586.75
CREAM SLICE FLANNEL PINK SPOT ,4573.84
RED SPOTTY APRON ,4572.66
DOORMAT FRIENDSHIP ,4548.41
ASSTD DESIGN BUBBLE GUM RING,4543.50
FELTCRAFT PRINCESS LOLA DOLL,4543.39
4 TRADITIONAL SPINNING TOPS,4536.59
12 PENCILS SMALL TUBE RED SPOTTY,4532.38
ENAMEL MEASURING JUG CREAM,4527.96
MAN FLU METAL SIGN,4518.06
RIBBON REEL SNOWY VILLAGE,4509.97
LARGE CAKE STAND HANGING HEARTS,4500.76
FANNY'S REST STOPMETAL SIGN,4482.03
CREAM SWEETHEART MAGAZINE RACK,4446.79
